,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,total_charges_per_month,tenure_totalcharges,blend10,blend3,pred10,pred3,profit10,profit3,training_data,profit_without_model
20,4884-zthvf,female,1,no,no,8,yes,no,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,electronic_check,87.1,713.6,0,8.192881745120552,509224.96,0.8327015829593553,0.804201201773741,1,1,-1000,-1000,Yes,5000
21,2346-czyil,male,0,no,no,27,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.35,531.6,0,26.12285012285012,282598.56,0.010718734130519193,0.013964554567064188,0,0,5000,5000,Yes,5000
22,7133-vbdcg,female,0,no,no,25,yes,no,fiber_optic,yes,yes,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),79.85,2015.35,1,25.23919849718222,4061635.6224999996,0.6491085644008197,0.5782982011263024,1,1,4000,4000,Yes,-5000
23,9133-ayjzg,female,0,no,no,23,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),98.7,2249.1,0,22.78723404255319,5058450.81,0.8092874504185212,0.7692949867163636,1,1,-1000,-1000,Yes,5000
24,5663-qbgis,male,1,yes,no,72,yes,yes,fiber_optic,no,yes,no,no,yes,yes,two_year,no,bank_transfer_(automatic),98.35,6929.4,0,70.45653279105237,48016584.35999999,0.05312640474176905,0.06566196900591444,0,0,5000,5000,Yes,5000
25,3229-uswar,female,0,no,no,34,yes,no,dsl,yes,no,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),79.95,2727.3,0,34.112570356472794,7438165.290000001,0.05022357890173855,0.05781608271339593,0,0,5000,5000,Yes,5000
26,1162-ecvii,male,1,yes,no,72,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),109.75,7932.5,0,72.27790432801822,62924556.25,0.053617742467540384,0.06745239046068612,0,0,5000,5000,Yes,5000
27,5299-sjczt,male,0,no,no,3,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),101.55,298.35,1,2.9379615952732645,89012.72250000002,0.906029903252296,0.8811936116133299,1,1,4000,4000,Yes,-5000
28,1090-pykci,female,0,yes,yes,69,yes,yes,fiber_optic,yes,yes,yes,yes,yes,no,one_year,yes,credit_card_(automatic),105.1,7234.8,0,68.837297811608,52342331.04,0.0400146044121263,0.04563216960810694,0,0,5000,5000,Yes,5000
29,1498-nhtlt,male,0,yes,yes,59,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,86.75,5186.0,0,59.78097982708934,26894596.0,0.012088775604685048,0.015415735657084643,0,0,5000,5000,Yes,5000
30,0230-wequw,male,0,yes,no,66,no,no_phone_service,dsl,yes,yes,yes,yes,yes,no,two_year,yes,bank_transfer_(automatic),56.6,3789.2,0,66.94699646643109,14358036.639999999,0.005626693427411672,0.006943457093912106,0,0,5000,5000,Yes,5000
31,3763-gczhz,male,0,yes,no,66,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,yes,electronic_check,104.05,6890.0,1,66.21816434406536,47472100.0,0.2092494940962393,0.21529655868708192,0,0,-5000,-5000,Yes,-5000
32,6786-obwqr,female,0,yes,yes,5,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,80.85,356.1,0,4.404452690166976,126807.21000000002,0.850424535387163,0.8200853270242491,1,1,-1000,-1000,Yes,5000
33,8999-ypybv,male,0,yes,yes,45,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,mailed_check,84.35,3858.05,0,45.73858921161826,14884549.802500002,0.011928649354501225,0.015262662756597382,0,0,5000,5000,Yes,5000
34,8922-npkbj,male,0,yes,yes,42,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.35,867.3,0,44.82170542635659,752209.2899999999,0.005040658312113236,0.006100356769723284,0,0,5000,5000,Yes,5000
35,3190-xfani,male,0,no,yes,49,yes,yes,fiber_optic,no,no,no,yes,yes,yes,one_year,yes,bank_transfer_(automatic),100.6,5069.65,1,50.3941351888668,25701351.122499995,0.17259871975664218,0.18645892893700478,0,0,-5000,-5000,Yes,-5000
36,4597-nucqv,male,1,no,no,24,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,101.25,2440.15,1,24.100246913580246,5954332.022500001,0.8557450196241219,0.8276687072059157,1,1,4000,4000,Yes,-5000
37,5583-sxdag,male,0,yes,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,70.0,70.0,1,1.0,4900.0,0.8530444374146332,0.8180347653306516,1,1,4000,4000,Yes,-5000
38,0953-lgovu,male,0,yes,yes,12,no,no_phone_service,dsl,no,yes,no,yes,no,no,month-to-month,no,mailed_check,35.5,432.25,0,12.17605633802817,186840.0625,0.11115149742894456,0.11960621242852972,0,0,5000,5000,Yes,5000
39,6682-qjdgb,male,0,no,yes,40,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed_check,55.25,2139.2,1,38.71855203619909,4576176.64,0.5090815205567896,0.42580573472426214,1,0,4000,-5000,Yes,-5000
40,3023-gflbr,female,0,yes,yes,33,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,no,credit_card_(automatic),86.15,2745.7,1,31.871154962275096,7538868.489999999,0.717212948078687,0.6529359927599819,1,1,4000,4000,Yes,-5000
41,5313-fpxwg,male,0,no,no,51,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,bank_transfer_(automatic),24.6,1266.4,0,51.47967479674797,1603768.9600000002,0.010445301230499308,0.012409003826214555,0,0,5000,5000,Yes,5000
42,3766-ejlfl,female,0,yes,yes,68,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),109.05,7508.55,0,68.85419532324622,56378323.1025,0.047057727949213396,0.05583628268489588,0,0,5000,5000,Yes,5000
43,5423-bhixo,female,0,no,no,32,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic_check,54.2,1739.6,0,32.09594095940959,3026208.1599999997,0.6020444784738215,0.529396646832738,1,1,-1000,-1000,Yes,5000
44,5092-stpkp,female,0,no,no,24,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,credit_card_(automatic),56.35,1381.2,0,24.51109139307897,1907713.4400000002,0.4678261347609756,0.3939184439278372,0,0,5000,5000,Yes,5000
45,7841-fcrqd,female,0,yes,no,33,yes,no,dsl,no,yes,no,yes,no,no,one_year,yes,credit_card_(automatic),53.75,1857.3,0,34.55441860465116,3449563.29,0.05432181168878099,0.05811574743468173,0,0,5000,5000,Yes,5000
46,2873-zliwt,female,0,yes,yes,40,yes,yes,fiber_optic,no,no,yes,yes,no,no,month-to-month,yes,electronic_check,84.85,3303.05,1,38.92810842663524,10910139.302500002,0.7034453391553488,0.6316226260925132,1,1,4000,4000,Yes,-5000
47,8919-fyfqz,male,1,yes,no,44,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic_check,30.35,1359.7,1,44.80065897858319,1848784.09,0.6460858493564895,0.5619566620909815,1,1,4000,4000,Yes,-5000
48,9066-qrsdu,female,0,yes,no,69,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,electronic_check,26.3,1763.55,0,67.0551330798479,3110108.6025,0.0066129149515513535,0.007659682582931678,0,0,5000,5000,Yes,5000
49,2133-tsrrm,female,0,no,yes,34,yes,no,fiber_optic,yes,yes,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),105.35,3688.6,0,35.012814428096824,13605769.959999999,0.5815976142854629,0.520613137311133,1,1,-1000,-1000,Yes,5000
50,9610-wcesf,male,0,no,no,67,no,no_phone_service,dsl,yes,no,no,yes,yes,no,two_year,no,electronic_check,43.9,3097.2,0,70.55125284738041,9592647.839999998,0.007359880044141722,0.00860273004662666,0,0,5000,5000,Yes,5000
51,6688-uzpwd,female,0,yes,no,11,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,102.0,1145.35,1,11.22892156862745,1311826.6224999998,0.8988013109616861,0.8757414400075599,1,1,4000,4000,Yes,-5000
52,0411-ezjze,female,0,no,no,3,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic_check,60.25,170.5,0,2.8298755186721993,29070.25,0.7805181617951717,0.747759190219724,1,1,-1000,-1000,Yes,5000
53,1492-qgclu,male,0,yes,yes,53,yes,yes,dsl,yes,no,yes,yes,yes,yes,month-to-month,no,electronic_check,85.7,4616.1,0,53.8634772462077,21308379.210000005,0.05876585004343454,0.06218166288305531,0,0,5000,5000,Yes,5000
54,0388-eopex,female,0,yes,no,2,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,electronic_check,74.4,139.4,1,1.8736559139784945,19432.36,0.7815601255259934,0.7445209218575155,1,1,4000,4000,Yes,-5000
55,3750-yhryo,male,0,yes,yes,7,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.65,150.0,0,7.263922518159807,22500.0,0.029236251370846147,0.037760048475558715,0,0,5000,5000,Yes,5000
56,1552-czcll,female,0,yes,yes,55,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,credit_card_(automatic),20.0,1087.25,0,54.3625,1182112.5625,0.011698721845523102,0.012593897415184236,0,0,5000,5000,Yes,5000
57,3312-uumzw,male,0,yes,no,32,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),98.85,3145.9,0,31.824987354577647,9896686.81,0.7559765529226126,0.7088291832930356,1,1,-1000,-1000,Yes,5000
58,7954-mlbun,male,0,no,no,31,yes,no,fiber_optic,no,no,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),99.45,3109.9,0,31.270990447461035,9671478.01,0.06282538367284317,0.08089906029073927,0,0,5000,5000,Yes,5000
59,1195-oiyej,male,0,no,no,13,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,91.1,1135.7,1,12.466520307354557,1289814.49,0.8596054034264906,0.8311582959829296,1,1,4000,4000,Yes,-5000
60,8108-uxrqn,female,0,yes,yes,11,no,no_phone_service,dsl,yes,no,no,no,yes,yes,month-to-month,no,electronic_check,50.55,565.35,0,11.183976261127597,319620.6225,0.5913722460741039,0.543131700369951,1,1,-1000,-1000,Yes,5000
61,5307-uvgnb,female,0,yes,yes,53,no,no_phone_service,dsl,yes,yes,yes,no,no,yes,month-to-month,yes,bank_transfer_(automatic),48.7,2495.2,0,51.236139630390134,6226023.039999999,0.06177032290606316,0.06561779087181648,0,0,5000,5000,Yes,5000
62,3348-cfrnx,female,0,yes,no,28,yes,no,fiber_optic,yes,no,no,no,yes,yes,month-to-month,yes,mailed_check,92.35,2602.9,1,28.18516513264754,6775088.41,0.6975290670552267,0.6358947231883763,1,1,4000,4000,Yes,-5000
63,8450-jovah,male,0,yes,yes,2,yes,yes,dsl,yes,no,no,no,no,no,month-to-month,no,mailed_check,56.7,113.55,1,2.0026455026455023,12893.602499999999,0.630561506312713,0.5673681306056679,1,1,4000,4000,Yes,-5000
64,4922-cvpdx,female,0,yes,no,26,yes,no,dsl,no,yes,yes,no,yes,yes,two_year,yes,credit_card_(automatic),73.5,1905.7,0,25.927891156462586,3631692.49,0.06022691822214231,0.07825370334801693,0,0,5000,5000,Yes,5000
65,6685-gbwjz,male,0,yes,no,63,yes,no,dsl,yes,yes,no,yes,yes,no,one_year,no,credit_card_(automatic),70.8,4448.8,0,62.8361581920904,19791821.44,0.011457707065397156,0.0126006669449657,0,0,5000,5000,Yes,5000
66,4706-dgahw,male,1,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic_check,45.2,45.2,0,1.0,2043.0400000000002,0.7929122028365887,0.7460231338416508,1,1,-1000,-1000,Yes,5000
67,1891-qrqsa,male,1,yes,yes,64,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),111.6,7099.0,0,63.611111111111114,50395801.0,0.047897606185164865,0.059302052053400604,0,0,5000,5000,Yes,5000
68,8158-wpezg,male,0,no,no,11,no,no_phone_service,dsl,no,yes,no,yes,no,no,month-to-month,yes,electronic_check,35.65,425.1,0,11.924263674614307,180710.01,0.6738872290879673,0.6117132887449247,1,1,-1000,-1000,Yes,5000
69,1051-eqpzr,female,0,yes,yes,44,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.6,780.25,0,39.80867346938775,608790.0625,0.013374631620965124,0.014890997544614277,0,0,5000,5000,Yes,5000
70,7245-jmttq,female,0,no,no,51,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,yes,electronic_check,111.5,5703.25,0,51.15022421524664,32527060.5625,0.37331555362367663,0.35692989716995394,0,0,5000,5000,Yes,5000
71,5593-suaoo,female,0,yes,yes,24,yes,yes,fiber_optic,no,yes,yes,no,no,no,one_year,no,bank_transfer_(automatic),83.15,2033.05,0,24.45039085989176,4133292.3024999998,0.11619643227614573,0.1339615285604132,0,0,5000,5000,Yes,5000
72,5424-rlqlc,male,0,no,no,10,yes,no,dsl,no,yes,no,no,yes,no,month-to-month,yes,mailed_check,59.65,638.95,0,10.7116512992456,408257.10250000004,0.6291488183879199,0.5656477823698026,1,1,-1000,-1000,Yes,5000
73,9773-peqbz,male,0,no,no,10,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,no,electronic_check,79.85,797.25,0,9.98434564809017,635607.5625,0.7631960471297516,0.722520945987145,1,1,-1000,-1000,Yes,5000
74,6741-qrlup,female,0,no,no,63,yes,yes,dsl,yes,yes,yes,yes,no,yes,two_year,yes,credit_card_(automatic),80.3,4995.35,0,62.20859277708593,24953521.622500002,0.009244878045412127,0.01165516285911943,0,0,5000,5000,Yes,5000
75,8610-wfcjf,female,0,yes,yes,49,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,95.6,4783.5,1,50.036610878661094,22881872.25,0.7675025551405311,0.7164860965671676,1,1,4000,4000,Yes,-5000
76,3896-zvnet,female,0,yes,yes,24,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,24.7,571.75,0,23.147773279352226,326898.0625,0.014622382709421336,0.018854312319888496,0,0,5000,5000,Yes,5000
77,5781-bkhop,female,0,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,two_year,no,bank_transfer_(automatic),100.65,7334.05,0,72.86686537506209,53788289.4025,0.021586820837718373,0.027473868510417408,0,0,5000,5000,Yes,5000
78,9845-peeko,female,1,no,no,59,yes,yes,fiber_optic,no,yes,no,no,no,no,two_year,yes,credit_card_(automatic),79.2,4590.35,0,57.95896464646465,21071313.122500002,0.056660219826979566,0.07067678609834505,0,0,5000,5000,Yes,5000
79,0596-bqceq,female,0,yes,yes,62,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,100.15,6283.3,1,62.73889166250624,39479858.89,0.6461424075671035,0.5734450228814963,1,1,4000,4000,Yes,-5000
80,4704-eryfc,female,0,yes,no,22,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,69.25,1554.0,1,22.44043321299639,2414916.0,0.7401735856142648,0.6945099701440747,1,1,4000,4000,Yes,-5000
81,2809-ilcyt,female,0,yes,no,25,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,mailed_check,26.8,733.55,0,27.371268656716417,538095.6024999999,0.03327567546512386,0.0412930398443992,0,0,5000,5000,Yes,5000
82,3750-ckvkh,male,0,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,67.75,116.65,1,1.7217712177121771,13607.222500000002,0.8498701702504089,0.822256587964274,1,1,4000,4000,Yes,-5000
83,5730-dbdsi,male,0,no,no,66,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),19.7,1253.8,0,63.64467005076142,1572014.44,0.002863530881056429,0.0031920673714693195,0,0,5000,5000,Yes,5000
84,3336-jorso,female,1,no,no,33,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic_check,110.45,3655.45,1,33.095971027614304,13362314.702499999,0.7496562828756022,0.7028594620904562,1,1,4000,4000,Yes,-5000
85,4177-jpdfu,male,0,no,no,12,no,no_phone_service,dsl,no,yes,no,yes,no,no,month-to-month,no,mailed_check,34.0,442.45,0,13.013235294117647,195762.0025,0.49464991120675106,0.43085838712445435,0,0,5000,5000,Yes,5000
86,2039-jondj,male,0,no,no,27,yes,no,dsl,yes,yes,no,no,no,no,one_year,no,bank_transfer_(automatic),55.45,1477.65,0,26.648331830477908,2183449.5225000004,0.0345530590644788,0.03918627811126417,0,0,5000,5000,Yes,5000
87,1073-xxczd,male,0,yes,no,55,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),25.7,1443.65,0,56.17315175097277,2084125.3225000002,0.005214526398443683,0.006210729581786041,0,0,5000,5000,Yes,5000
88,1597-fzreh,female,0,no,no,2,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,no,electronic_check,76.4,160.8,1,2.1047120418848166,25856.640000000003,0.733111265302039,0.6734869005568331,1,1,4000,4000,Yes,-5000
89,2884-gbpfb,female,0,yes,no,35,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.3,2416.55,1,34.37482219061167,5839713.902500001,0.7367446232320617,0.6772666417192348,1,1,4000,4000,Yes,-5000
90,4188-frabg,male,0,yes,no,57,yes,yes,fiber_optic,yes,yes,yes,yes,yes,no,month-to-month,yes,electronic_check,103.05,5925.75,0,57.50363901018923,35114513.0625,0.5110981290472244,0.44743947403572615,1,0,-1000,5000,Yes,5000
91,7460-itwwp,female,1,yes,no,45,yes,no,fiber_optic,no,no,yes,no,no,yes,month-to-month,yes,electronic_check,86.1,3861.45,0,44.84843205574913,14910796.1025,0.6882159583911998,0.6305292475948088,1,1,-1000,-1000,Yes,5000
92,5482-nupna,female,0,no,no,4,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,yes,mailed_check,60.4,272.15,1,4.505794701986755,74065.62249999998,0.594670248715144,0.5183755861743421,1,1,4000,4000,Yes,-5000
93,7817-boqpw,female,0,no,no,2,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.55,166.3,1,2.2011912640635343,27655.690000000002,0.896287977430534,0.8751291922116536,1,1,4000,4000,Yes,-5000
94,3987-kqddu,male,0,no,no,9,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,no,electronic_check,75.6,661.55,0,8.750661375661375,437648.40249999997,0.6937125352276096,0.6389487408302555,1,1,-1000,-1000,Yes,5000
95,5846-abobj,male,0,yes,no,71,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),24.45,1730.65,0,70.78323108384458,2995149.4225000003,0.0020941587055684375,0.0024754681188426794,0,0,5000,5000,Yes,5000
96,3454-jfubc,male,1,no,no,68,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),20.0,1396.0,0,69.8,1948816.0,0.0030416049750187327,0.003577553973726155,0,0,5000,5000,Yes,5000
97,2243-fnmmi,male,0,no,no,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.4,415.4,0,21.41237113402062,172557.15999999997,0.030284118413468786,0.037484853152414115,0,0,5000,5000,Yes,5000
98,2360-rdgro,male,0,yes,no,65,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,month-to-month,yes,electronic_check,104.25,6812.95,0,65.35203836930455,46416287.7025,0.6734102311426158,0.6036805991384392,1,1,-1000,-1000,Yes,5000
99,4432-adrlb,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,44.65,74.9,1,1.6774916013437853,5610.010000000001,0.7007012922002859,0.6369205526941708,1,1,4000,4000,Yes,-5000
100,8778-lmwtj,female,0,no,no,9,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,electronic_check,74.85,708.2,0,9.461589846359386,501547.24000000005,0.75176608402639,0.708123412433741,1,1,-1000,-1000,Yes,5000
101,4508-oebey,male,0,yes,no,31,yes,no,dsl,yes,yes,yes,yes,no,yes,one_year,yes,credit_card_(automatic),75.5,2424.45,0,32.111920529801324,5877957.802499999,0.041060577918958716,0.04732319627147205,0,0,5000,5000,Yes,5000
102,8040-mnrtf,female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,mailed_check,71.1,71.1,0,1.0,5055.209999999999,0.8220727753472075,0.7764966859455742,1,1,-1000,-1000,Yes,5000
103,4054-cumia,female,0,yes,yes,18,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,20.25,401.95,0,19.849382716049384,161563.8025,0.043276521802601546,0.053587298091659255,0,0,5000,5000,Yes,5000
104,5522-jbwmo,male,0,no,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic_check,44.0,44.0,0,1.0,1936.0,0.7304376918278297,0.6744558086733298,1,1,-1000,-1000,Yes,5000
105,6265-sxwbu,male,0,yes,yes,69,yes,yes,fiber_optic,no,yes,yes,no,yes,no,one_year,no,credit_card_(automatic),95.75,6511.25,0,68.00261096605745,42396376.5625,0.05305828336318888,0.06048409856559529,0,0,5000,5000,Yes,5000
